PathID,GeneID
hsa00140,hsa:8644
hsa00140,hsa:9420
hsa00190,hsa:100532726
hsa00190,hsa:10063
hsa00190,hsa:10312
hsa00190,hsa:10476
hsa00190,hsa:10632
hsa00190,hsa:10975
hsa00190,hsa:125965
hsa00190,hsa:126328
hsa00190,hsa:127124
hsa00190,hsa:1327
hsa00190,hsa:1329
hsa00190,hsa:1337
hsa00190,hsa:1339
hsa00190,hsa:1340
hsa00190,hsa:1345
hsa00190,hsa:1346
hsa00190,hsa:1347
hsa00190,hsa:1349
hsa00190,hsa:1350
hsa00190,hsa:1351
hsa00190,hsa:1352
hsa00190,hsa:1353
hsa00190,hsa:1355
hsa00190,hsa:1537
hsa00190,hsa:155066
hsa00190,hsa:170712
hsa00190,hsa:23545
hsa00190,hsa:245972
hsa00190,hsa:245973
hsa00190,hsa:27068
hsa00190,hsa:27089
hsa00190,hsa:29796
hsa00190,hsa:341947
hsa00190,hsa:374291
hsa00190,hsa:440567
hsa00190,hsa:4508
hsa00190,hsa:4509
hsa00190,hsa:4512
hsa00190,hsa:4513
hsa00190,hsa:4514
hsa00190,hsa:4519
hsa00190,hsa:4535
hsa00190,hsa:4536
hsa00190,hsa:4537
hsa00190,hsa:4538
hsa00190,hsa:4539
hsa00190,hsa:4540
hsa00190,hsa:4541
hsa00190,hsa:4694
hsa00190,hsa:4695
hsa00190,hsa:4696
hsa00190,hsa:4697
hsa00190,hsa:4698
hsa00190,hsa:4700
hsa00190,hsa:4701
hsa00190,hsa:4702
hsa00190,hsa:4704
hsa00190,hsa:4705
hsa00190,hsa:4706
hsa00190,hsa:4707
hsa00190,hsa:4708
hsa00190,hsa:4709
hsa00190,hsa:4710
hsa00190,hsa:4711
hsa00190,hsa:4712
hsa00190,hsa:4713
hsa00190,hsa:4714
hsa00190,hsa:4715
hsa00190,hsa:4716
hsa00190,hsa:4717
hsa00190,hsa:4718
hsa00190,hsa:4719
hsa00190,hsa:4720
hsa00190,hsa:4722
hsa00190,hsa:4723
hsa00190,hsa:4724
hsa00190,hsa:4725
hsa00190,hsa:4726
hsa00190,hsa:4728
hsa00190,hsa:4729
hsa00190,hsa:4731
hsa00190,hsa:479
hsa00190,hsa:495
hsa00190,hsa:496
hsa00190,hsa:498
hsa00190,hsa:506
hsa00190,hsa:50617
hsa00190,hsa:509
hsa00190,hsa:51079
hsa00190,hsa:513
hsa00190,hsa:51382
hsa00190,hsa:514
hsa00190,hsa:515
hsa00190,hsa:516
hsa00190,hsa:51606
hsa00190,hsa:517
hsa00190,hsa:518
hsa00190,hsa:521
hsa00190,hsa:522
hsa00190,hsa:523
hsa00190,hsa:525
hsa00190,hsa:526
hsa00190,hsa:527
hsa00190,hsa:528
hsa00190,hsa:529
hsa00190,hsa:533
hsa00190,hsa:534
hsa00190,hsa:535
hsa00190,hsa:537
hsa00190,hsa:539
hsa00190,hsa:54539
hsa00190,hsa:5464
hsa00190,hsa:55967
hsa00190,hsa:56901
hsa00190,hsa:6389
hsa00190,hsa:6390
hsa00190,hsa:6391
hsa00190,hsa:6392
hsa00190,hsa:64077
hsa00190,hsa:7381
hsa00190,hsa:7384
hsa00190,hsa:7385
hsa00190,hsa:7386
hsa00190,hsa:7388
hsa00190,hsa:84701
hsa00190,hsa:8992
hsa00190,hsa:90423
hsa00190,hsa:9114
hsa00190,hsa:9167
hsa00190,hsa:9296
hsa00190,hsa:9377
hsa00190,hsa:9550
hsa00190,hsa:9551
hsa00220,hsa:100526760
hsa00220,hsa:1373
hsa00220,hsa:162417
hsa00220,hsa:27165
hsa00220,hsa:2744
hsa00220,hsa:2746
hsa00220,hsa:2747
hsa00220,hsa:2752
hsa00220,hsa:2805
hsa00220,hsa:2806
hsa00220,hsa:2875
hsa00220,hsa:383
hsa00220,hsa:384
hsa00220,hsa:435
hsa00220,hsa:445
hsa00220,hsa:4842
hsa00220,hsa:4843
hsa00220,hsa:4846
hsa00220,hsa:5009
hsa00220,hsa:84706
hsa00220,hsa:95
hsa00230,hsa:100
hsa00230,hsa:100526794
hsa00230,hsa:101060521
hsa00230,hsa:10201
hsa00230,hsa:102157402
hsa00230,hsa:10606
hsa00230,hsa:10621
hsa00230,hsa:10622
hsa00230,hsa:10623
hsa00230,hsa:107
hsa00230,hsa:10714
hsa00230,hsa:108
hsa00230,hsa:10846
hsa00230,hsa:109
hsa00230,hsa:111
hsa00230,hsa:11128
hsa00230,hsa:11164
hsa00230,hsa:112
hsa00230,hsa:113
hsa00230,hsa:114
hsa00230,hsa:115
hsa00230,hsa:115024
hsa00230,hsa:122481
hsa00230,hsa:122622
hsa00230,hsa:124583
hsa00230,hsa:131870
hsa00230,hsa:132
hsa00230,hsa:158
hsa00230,hsa:158067
hsa00230,hsa:159
hsa00230,hsa:1633
hsa00230,hsa:171568
hsa00230,hsa:1716
hsa00230,hsa:196883
hsa00230,hsa:203
hsa00230,hsa:204
hsa00230,hsa:205
hsa00230,hsa:221264
hsa00230,hsa:221823
hsa00230,hsa:221830
hsa00230,hsa:2272
hsa00230,hsa:22875
hsa00230,hsa:22978
hsa00230,hsa:23649
hsa00230,hsa:246721
hsa00230,hsa:25885
hsa00230,hsa:2618
hsa00230,hsa:26289
hsa00230,hsa:270
hsa00230,hsa:271
hsa00230,hsa:27115
hsa00230,hsa:272
hsa00230,hsa:2766
hsa00230,hsa:2977
hsa00230,hsa:2982
hsa00230,hsa:2983
hsa00230,hsa:2984
hsa00230,hsa:2986
hsa00230,hsa:2987
hsa00230,hsa:29922
hsa00230,hsa:3000
hsa00230,hsa:30833
hsa00230,hsa:30834
hsa00230,hsa:318
hsa00230,hsa:3251
hsa00230,hsa:353
hsa00230,hsa:3614
hsa00230,hsa:3615
hsa00230,hsa:3704
hsa00230,hsa:374659
hsa00230,hsa:377841
hsa00230,hsa:390877
hsa00230,hsa:471
hsa00230,hsa:4830
hsa00230,hsa:4831
hsa00230,hsa:4832
hsa00230,hsa:4833
hsa00230,hsa:4860
hsa00230,hsa:4881
hsa00230,hsa:4882
hsa00230,hsa:4907
hsa00230,hsa:50484
hsa00230,hsa:50808
hsa00230,hsa:50940
hsa00230,hsa:51082
hsa00230,hsa:51251
hsa00230,hsa:51292
hsa00230,hsa:5136
hsa00230,hsa:5137
hsa00230,hsa:5138
hsa00230,hsa:5139
hsa00230,hsa:5140
hsa00230,hsa:5141
hsa00230,hsa:5142
hsa00230,hsa:5143
hsa00230,hsa:5144
hsa00230,hsa:5145
hsa00230,hsa:5146
hsa00230,hsa:5147
hsa00230,hsa:5148
hsa00230,hsa:5149
hsa00230,hsa:5150
hsa00230,hsa:5151
hsa00230,hsa:5152
hsa00230,hsa:5153
hsa00230,hsa:5158
hsa00230,hsa:5167
hsa00230,hsa:5169
hsa00230,hsa:51728
hsa00230,hsa:51816
hsa00230,hsa:5198
hsa00230,hsa:5236
hsa00230,hsa:5313
hsa00230,hsa:5315
hsa00230,hsa:53343
hsa00230,hsa:54107
hsa00230,hsa:5422
hsa00230,hsa:5424
hsa00230,hsa:5425
hsa00230,hsa:5426
hsa00230,hsa:5427
hsa00230,hsa:5430
hsa00230,hsa:5431
hsa00230,hsa:5432
hsa00230,hsa:5433
hsa00230,hsa:5434
hsa00230,hsa:5435
hsa00230,hsa:5436
hsa00230,hsa:5437
hsa00230,hsa:5438
hsa00230,hsa:5439
hsa00230,hsa:5440
hsa00230,hsa:5441
hsa00230,hsa:5471
hsa00230,hsa:548644
hsa00230,hsa:55276
hsa00230,hsa:5557
hsa00230,hsa:5558
hsa00230,hsa:55703
hsa00230,hsa:55718
hsa00230,hsa:55811
hsa00230,hsa:55821
hsa00230,hsa:5631
hsa00230,hsa:5634
hsa00230,hsa:56655
hsa00230,hsa:56953
hsa00230,hsa:56985
hsa00230,hsa:57804
hsa00230,hsa:58497
hsa00230,hsa:6240
hsa00230,hsa:6241
hsa00230,hsa:64425
hsa00230,hsa:646625
hsa00230,hsa:654364
hsa00230,hsa:661
hsa00230,hsa:7498
hsa00230,hsa:84172
hsa00230,hsa:84265
hsa00230,hsa:84284
hsa00230,hsa:84618
hsa00230,hsa:8622
hsa00230,hsa:8654
hsa00230,hsa:87178
hsa00230,hsa:8833
hsa00230,hsa:9060
hsa00230,hsa:9061
hsa00230,hsa:93034
hsa00230,hsa:953
hsa00230,hsa:9533
hsa00230,hsa:954
hsa00230,hsa:955
hsa00230,hsa:956
hsa00230,hsa:957
hsa00230,hsa:9583
hsa00230,hsa:9615
hsa00232,hsa:10
hsa00232,hsa:1544
hsa00232,hsa:1548
hsa00232,hsa:7498
hsa00232,hsa:9
hsa00240,hsa:100526794
hsa00240,hsa:101060521
hsa00240,hsa:10201
hsa00240,hsa:10587
hsa00240,hsa:10621
hsa00240,hsa:10622
hsa00240,hsa:10623
hsa00240,hsa:10714
hsa00240,hsa:11128
hsa00240,hsa:114112
hsa00240,hsa:115024
hsa00240,hsa:124583
hsa00240,hsa:129607
hsa00240,hsa:139596
hsa00240,hsa:1503
hsa00240,hsa:151531
hsa00240,hsa:1633
hsa00240,hsa:1635
hsa00240,hsa:171568
hsa00240,hsa:1723
hsa00240,hsa:1806
hsa00240,hsa:1807
hsa00240,hsa:1841
hsa00240,hsa:1854
hsa00240,hsa:1890
hsa00240,hsa:221264
hsa00240,hsa:221830
hsa00240,hsa:22978
hsa00240,hsa:23649
hsa00240,hsa:246721
hsa00240,hsa:25885
hsa00240,hsa:29922
hsa00240,hsa:30833
hsa00240,hsa:30834
hsa00240,hsa:318
hsa00240,hsa:377841
hsa00240,hsa:4830
hsa00240,hsa:4831
hsa00240,hsa:4832
hsa00240,hsa:4833
hsa00240,hsa:4860
hsa00240,hsa:4907
hsa00240,hsa:50484
hsa00240,hsa:51082
hsa00240,hsa:51251
hsa00240,hsa:5167
hsa00240,hsa:5169
hsa00240,hsa:51727
hsa00240,hsa:51728
hsa00240,hsa:51733
hsa00240,hsa:54107
hsa00240,hsa:5422
hsa00240,hsa:5424
hsa00240,hsa:5425
hsa00240,hsa:5426
hsa00240,hsa:5427
hsa00240,hsa:5430
hsa00240,hsa:5431
hsa00240,hsa:5432
hsa00240,hsa:5433
hsa00240,hsa:5434
hsa00240,hsa:5435
hsa00240,hsa:5436
hsa00240,hsa:5437
hsa00240,hsa:5438
hsa00240,hsa:5439
hsa00240,hsa:5440
hsa00240,hsa:5441
hsa00240,hsa:548644
hsa00240,hsa:54963
hsa00240,hsa:5557
hsa00240,hsa:5558
hsa00240,hsa:55703
hsa00240,hsa:55718
hsa00240,hsa:56474
hsa00240,hsa:56655
hsa00240,hsa:56953
hsa00240,hsa:57804
hsa00240,hsa:6240
hsa00240,hsa:6241
hsa00240,hsa:64425
hsa00240,hsa:654364
hsa00240,hsa:661
hsa00240,hsa:7083
hsa00240,hsa:7084
hsa00240,hsa:7296
hsa00240,hsa:7298
hsa00240,hsa:7371
hsa00240,hsa:7372
hsa00240,hsa:7378
hsa00240,hsa:790
hsa00240,hsa:79077
hsa00240,hsa:83549
hsa00240,hsa:84172
hsa00240,hsa:84265
hsa00240,hsa:84618
hsa00240,hsa:87178
hsa00240,hsa:93034
hsa00240,hsa:953
hsa00240,hsa:9533
hsa00240,hsa:955
hsa00240,hsa:956
hsa00240,hsa:957
hsa00240,hsa:9583
hsa00240,hsa:978
hsa00250,hsa:122622
hsa00250,hsa:1373
hsa00250,hsa:158
hsa00250,hsa:159
hsa00250,hsa:18
hsa00250,hsa:189
hsa00250,hsa:2346
hsa00250,hsa:2571
hsa00250,hsa:2572
hsa00250,hsa:259307
hsa00250,hsa:2673
hsa00250,hsa:27165
hsa00250,hsa:2744
hsa00250,hsa:2746
hsa00250,hsa:2747
hsa00250,hsa:2752
hsa00250,hsa:2805
hsa00250,hsa:2806
hsa00250,hsa:284716
hsa00250,hsa:2875
hsa00250,hsa:339983
hsa00250,hsa:435
hsa00250,hsa:440
hsa00250,hsa:443
hsa00250,hsa:445
hsa00250,hsa:5471
hsa00250,hsa:56954
hsa00250,hsa:57494
hsa00250,hsa:64902
hsa00250,hsa:790
hsa00250,hsa:7915
hsa00250,hsa:84706
hsa00250,hsa:8528
hsa00250,hsa:8659
hsa00250,hsa:9945
hsa00260,hsa:102724560
hsa00260,hsa:10993
hsa00260,hsa:113675
hsa00260,hsa:132158
hsa00260,hsa:1491
hsa00260,hsa:1610
hsa00260,hsa:1738
hsa00260,hsa:1757
hsa00260,hsa:189
hsa00260,hsa:211
hsa00260,hsa:212
hsa00260,hsa:23464
hsa00260,hsa:2593
hsa00260,hsa:26227
hsa00260,hsa:2628
hsa00260,hsa:2653
hsa00260,hsa:27232
hsa00260,hsa:2731
hsa00260,hsa:275
hsa00260,hsa:29958
hsa00260,hsa:29968
hsa00260,hsa:314
hsa00260,hsa:4128
hsa00260,hsa:4129
hsa00260,hsa:441531
hsa00260,hsa:501
hsa00260,hsa:51268
hsa00260,hsa:5223
hsa00260,hsa:5224
hsa00260,hsa:55349
hsa00260,hsa:5723
hsa00260,hsa:635
hsa00260,hsa:63826
hsa00260,hsa:6470
hsa00260,hsa:6472
hsa00260,hsa:64902
hsa00260,hsa:669
hsa00260,hsa:8639
hsa00260,hsa:875
hsa00260,hsa:9380
hsa00270,hsa:102724560
hsa00270,hsa:1036
hsa00270,hsa:10768
hsa00270,hsa:10993
hsa00270,hsa:113675
hsa00270,hsa:1491
hsa00270,hsa:160287
hsa00270,hsa:1786
hsa00270,hsa:1788
hsa00270,hsa:1789
hsa00270,hsa:191
hsa00270,hsa:23382
hsa00270,hsa:23743
hsa00270,hsa:259307
hsa00270,hsa:262
hsa00270,hsa:2729
hsa00270,hsa:2730
hsa00270,hsa:27430
hsa00270,hsa:2805
hsa00270,hsa:2806
hsa00270,hsa:2937
hsa00270,hsa:3939
hsa00270,hsa:3945
hsa00270,hsa:3948
hsa00270,hsa:4143
hsa00270,hsa:4144
hsa00270,hsa:4190
hsa00270,hsa:4191
hsa00270,hsa:4357
hsa00270,hsa:4507
hsa00270,hsa:4548
hsa00270,hsa:51074
hsa00270,hsa:55256
hsa00270,hsa:58478
hsa00270,hsa:586
hsa00270,hsa:587
hsa00270,hsa:635
hsa00270,hsa:64902
hsa00270,hsa:6611
hsa00270,hsa:6723
hsa00270,hsa:6898
hsa00270,hsa:7263
hsa00270,hsa:84245
hsa00270,hsa:875
hsa00270,hsa:92483
hsa00280,hsa:10449
hsa00280,hsa:11112
hsa00280,hsa:1629
hsa00280,hsa:1738
hsa00280,hsa:18
hsa00280,hsa:1892
hsa00280,hsa:1962
hsa00280,hsa:197322
hsa00280,hsa:217
hsa00280,hsa:219
hsa00280,hsa:223
hsa00280,hsa:224
hsa00280,hsa:259307
hsa00280,hsa:26275
hsa00280,hsa:27034
hsa00280,hsa:30
hsa00280,hsa:3028
hsa00280,hsa:3030
hsa00280,hsa:3032
hsa00280,hsa:3033
hsa00280,hsa:3155
hsa00280,hsa:3157
hsa00280,hsa:3158
hsa00280,hsa:316
hsa00280,hsa:34
hsa00280,hsa:35
hsa00280,hsa:36
hsa00280,hsa:3712
hsa00280,hsa:38
hsa00280,hsa:39
hsa00280,hsa:4329
hsa00280,hsa:4594
